"id","issue_count","issues"
"aac_heavyweight_m1","5","desc_truncated: 'The boss will point her orb to one side of the arena, indicating a late-telegraphed half-room cleave to her left or right. This is immediately followe...' | desc_truncated: 'A telegraphed large circle AoE in the middle of the room. The boss will also summon several bats that will begin rotating, but are harmless to touch. ...' | desc_truncated: 'and Dead Wake: Vamp Fatale will target each party member with a telegraphed spread AoE dealing magical damage. In addition, the Coffinmaker will charg...' | desc_truncated: 'and Dead Wake: Vamp Fatale will target each healer with a stack marker dealing magical damage and magic vulnerability up Magic Vulnerability Up, makin...' | desc_wiki_artifact (File:): 'Magical raid-wide damage and the boss gains a stack of File:Satisfied icon.png Satisfied, increasing her damage dealt.'"
"aac_light-heavyweight_m1","1","boss_no_mnemonic: Black Cat"
"abyssal_fracture","1","boss_no_mnemonic: Zeromus"
"abyssal_fracture_extreme","1","boss_no_mnemonic: Zeromus"
"aery","3","boss_no_mnemonic: Rangda | boss_no_mnemonic: Gyascutus | boss_no_mnemonic: Nidhogg"
"aetherfont","3","boss_no_mnemonic: Lyngbakr | boss_no_mnemonic: Thaliak | boss_no_mnemonic: Ambrosa"
"aetherochemical_research_facility","10","mnemonic_truncated: '3）B3 Igeyorhm：Shadow Flare / Fire Sphere / Esoteric Fusion' | desc_bad_start: ', a telegraphed 270 degree conal AoE.' | desc_truncated: 'Changes Forms, form will be announced but may be only a split second before the change. There is no cast or announcement prior to changing back to Sph...' | desc_truncated: '**Ballistic Missile will target a party member with a missile, indicated by a circular ""enumeration"" marker with a number of rotating spheres over it,...' | desc_truncated: 'Another version of this spell will result in two pairs of Burning Stars that are tethered and advance towards each other, which will explode upon cont...' | desc_truncated: 'Similar to the Towering Oliphant's Rout attack in The Dusk Vigil, this is a line stack marker, which requires players to line up between Lahabrea and ...' | desc_truncated: 'Features combinations of the tethered Burning Stars and Frozen Stars from the previous battle. Ascian Prime will then cast Fusion Prime to make them c...' | desc_truncated: 'Causes room-wide damage and five debuffs. As of Patch 6.3, there no portals to hide in and avoid this, and the debuffs will detonate the following mec...' | desc_truncated: 'A reprisal of Lahabrea's ultimate from The Ultimate Weapon. Ascian Prime becomes untargettable, summons a large Arcane Sphere, and begins siphoning po...' | desc_truncated: 'Heavy raid-wide damage based on how far the Ascian Prime's Power gauge filled. If Ascian Prime was allowed to reach 100%, his attack will wipe the par...'"
"ageless_necropolis","10","mnemonic_no_zh: '3）Mass Macabre' | desc_truncated: 'Party-wide magical damage and summons eight untargetable Icy Hands adds at various locations. The add spawn locations will be denoted by purple circle...' | desc_truncated: 'Telegraphed line AoEs covering the outer edges of the arena, leaving the middle third safe. One of the boss's sides will glow, indicating that after t...' | desc_truncated: 'A telegraphed line AoE through the middle of the room, leaving behind a persistent danger zone that will inflict bleeding bleeding. Five Icy Hands wil...' | desc_truncated: 'The boss will display either a donut or a filled circle on its ring, storing an attack for later, indicated by a blue diamond on the ring. Necron draw...' | desc_truncated: 'Party-wide magical damage and compresses the arena to a much smaller circle. Four untargetable Azure Aether orbs will begin rotating outside, each wit...' | desc_truncated: 'The boss briefly becomes targetable and uses a party-wide magical attack before becoming untargetable again. Each party member will be individually tr...' | desc_truncated: 'The boss tethers two locations, one east and one west, indicating the spawn locations of two large hands (Looming Specters). They will each do a late ...' | desc_truncated: 'The boss will show sequentially four AoE telegraphs on its ring, either circle > donut > circle > donut, or donut > circle > donut > circle. Each tele...' | desc_truncated: 'Spawns four four-person summoning circles. Each one must be soaked by four people at once to be disarmed. Towers that are not soaked in time will summ...'"
"aglaia","3","boss_no_mnemonic: Byregot | boss_no_mnemonic: Nymeia | boss_no_mnemonic: Azeyma"
"aitiascope","3","boss_no_mnemonic: The Watcher | boss_no_mnemonic: Lahabrea | boss_no_mnemonic: Fandaniel"
